OBSNAME	PABI	BALN	CAMB	APIA	CART	TULI	BBET	BRAS	CARY	CHEN	BCOR	CUPR	CYPE	RDRY	ELAE	ERIC	FABA	FFAG	OFRA	PLAR	MMYR	ONAG	POXR	PAPA	PPIC	PPIN	PPLA	POAC	POLE	POLY	SPOP	FQUE	RANU	ROSA	SSAL	SAXI	SCRO	RTHA	ULMA
BA011	0	11.5	9.5	0	2	0	15	0	0.5	1	0	0	25	0	0	4	1	0	0	0	0	0	4.5	0	1.5	5	0	14	0	0	0	0	0.5	1	1.5	2.5	0	0	0
BA012	0	4.215	1.916	0	5.747	0.766	4.981	0	0	0	0	0	31.418	0	0	6.513	0.766	0	0	0	0	0	1.149	0	9.579	20.69	0	3.065	0	1.533	0	0	0.383	0.383	6.13	0.766	0	0	0
BA013	0	6.045	2.519	0	5.542	0.252	7.305	0.252	0.756	1.259	0.756	0	28.463	0.504	0	7.305	0	0	0	0	0	0	4.03	0	4.786	21.411	0.252	3.778	0	0.252	0	0	0.756	0.504	3.023	0.252	0	0	0
BA014	0	2.918	0.796	0	2.122	0	33.687	0	0.265	0.265	0	0	12.732	0	0	20.955	0.796	0	0	0	0	0	0.796	0	1.592	1.326	0	6.101	0	0	0	0	0	0	14.854	0.796	0	0	0
BA015	0	8.044	2.925	0	3.291	0	15.356	0	0.366	0	0.183	0	30.53	0	0	14.442	0.183	0	0	0.183	0	0	0.914	0	3.839	8.592	0	7.313	0	0	0.183	0	0	0.183	3.473	0	0	0	0
BA016	0	1.111	3.333	0	5	1.667	2.222	0	0	0	0	0	50.556	0	0	8.333	0	0	0	0	0	0	1.667	0	8.333	11.111	0.556	2.778	0	1.111	0	0	0.556	0	1.111	0.556	0	0	0
BA017	0	5.046	1.147	0	2.064	1.147	6.193	0	0.917	0	0	0	40.367	0.459	0	2.294	0.917	0	0	0	0.229	0.459	3.44	0.459	2.064	13.073	0	1.376	0	0	0	0	0.459	2.523	12.385	2.064	0.917	0	0
BA018	0.802	18.717	2.941	0	4.813	1.337	8.824	0.267	2.941	0	0	0	19.519	0	0	7.754	0	0	0.267	0.802	0	0	1.07	0	7.219	8.289	0.267	2.674	0	0.267	0	0	0	1.07	8.824	1.337	0	0	0
BA019	0	12.392	2.305	0	2.594	0.576	19.885	0.288	0.576	0.288	0	0	29.683	0	0	10.951	0	0	0	0.288	0	0	2.017	0	2.017	6.628	0	5.476	0	0	0.865	0.288	0	0.576	2.305	0	0	0	0
BA020	0	7.973	1.367	0	3.645	0.228	6.834	0.228	2.05	0.456	0	0	26.651	0.228	0	12.528	0.911	0	0.228	0.228	0	0.228	3.872	0.228	3.872	2.961	0	9.339	0	0	0	0	0.683	0.456	14.351	0.228	0.228	0	0
BA021	0	12.132	3.676	0	2.206	0	12.5	0.368	2.206	0.735	0	0	36.765	0	0	12.868	0	0	0	0	0	0	1.471	0	2.941	3.309	0	4.044	0	0	0.368	0	0	0.368	4.044	0	0	0	0
BA022	0	12.679	0.957	0	5.263	0.239	5.502	0	0.718	0.239	0	0	31.34	0.239	0	12.201	0	0	0	0	0	0	2.632	0.239	7.177	7.895	0	5.263	0	0	0	0	0	0	6.938	0.478	0	0	0
BA023	0	9.569	0	0	0	0.478	12.919	0	2.871	0	0	0	31.1	0	0	6.22	0	0	0	0.478	0	0.478	2.871	0	0	1.914	0	13.876	0	0	0	0	0	0.478	13.397	3.349	0	0	0
BA024	0	6.997	1.166	0	1.749	0.292	7.872	0	0.875	0	0	0	23.907	0	0	32.362	0.292	0	0	0	0	0	0.292	0	1.166	2.041	0	5.248	0	0	0	0	0	0.292	15.16	0	0.292	0	0
BA025	0	2.77	1.385	0	0.554	0.277	4.155	0	0	0	0	0	32.41	0	0	24.1	0.277	0	0	0	0	0	0.277	0.277	1.662	0.554	0	13.573	0	0	0	0	0.831	0.554	16.066	0	0.277	0	0
BA026	0	6.736	1.295	0	4.145	0.259	6.995	0	0	0	0	0	36.269	0.259	0	20.207	0.259	0	0	0	0	0	0.518	0	2.591	11.917	0	6.218	0	0.259	0	0	0	0.259	1.554	0	0.259	0	0
BA027	0	4.891	0.543	0	0.815	0.272	2.989	0	0.272	0	0	0	22.011	0.272	0	20.38	0	0	0	0	0	0	1.359	0	0.543	0.543	0	17.935	0	0	0	0	0	0	26.902	0.272	0	0	0
BA028	0	6.627	0.904	0	4.819	0.904	14.157	0	0.301	0.602	0.301	0	29.217	0	0	10.241	0.301	0	0	0	0	0	5.723	0	1.205	1.807	0	14.759	0	0	0	0	0.904	0.301	6.928	0	0	0	0
BA029	0	6.383	1.596	0	5.053	0.266	5.585	0	0.798	0.266	0	0	47.606	0	0	6.915	0	0	0	0	0	0	3.457	0	4.521	8.777	0	4.521	0	0	0	0	0.532	0.266	2.394	0.798	0.266	0	0
BA030	0	1.929	0.965	0	1.608	0.965	4.502	0	0	0	0	0	56.913	0	0	9.968	0.643	0	0	0	0	0.322	1.929	0	3.215	5.788	0	5.145	0	0	0	0	0	0.965	5.145	0	0	0	0
BA031	0	7.336	0	0	0	0	4.247	0	0.772	0.386	0	0	24.71	0	0	9.653	0	0	0	0	0	0	0	0	3.475	1.931	0	30.502	0	0	0	0	0	0.386	16.602	0	0	0	0
BA032	0	3.226	0.717	0	0	0	3.584	0	0.358	0.717	0	0	38.351	0.358	0	16.487	0	0	0	0	0	0	0.717	0	1.792	3.226	0	14.695	0	0	0	0	0	0	15.054	0.717	0	0	0
BA033	0	6.371	2.493	0	2.493	0	5.263	0	1.385	0	0	0	37.673	0	0	13.573	0.277	0	0	0	0	0	0.554	0	0.831	1.385	0	7.756	0	0.277	0	0	0	0.277	18.283	1.108	0	0	0
BA034	0	6.667	1.333	0	6	0	4.667	0	1.333	0	0	0	40	0	0	6	1.333	0	0	0	0	0	0.667	0	4.667	12.667	0	6.667	0	0	0	0	0	0	7.333	0.667	0	0	0
BA035	0	11.331	0.85	0	3.966	0.567	10.198	0	1.416	0.567	0	0	29.462	0	0	13.598	0.567	0	0	0	0	0.283	1.133	0.283	2.266	5.382	0	11.898	0	0.283	0	0	0.283	0.567	4.816	0.283	0	0	0
BA036	0	3.774	0.943	0.236	1.179	0	4.717	0.236	0.472	0	0	0	33.962	0.472	0	16.274	1.179	0	0	0	0	0	0.472	0	0.943	1.179	0	6.84	0	0	0	0	0	0.472	25.708	0.943	0	0	0
BA037	0	2.778	0.926	0	0	0.926	0.926	0	1.852	0.926	0	0	36.111	0	0	0.926	0	0	0.926	0	0	0	0.926	0	0	5.556	0	35.185	0	0	0	0	0	0.926	5.556	5.556	0	0	0
BA038	0	12.295	0	0	0.82	0	26.23	0	0.82	1.639	0	0	24.59	0	0	4.918	0	0	0	0	0	0	0	0	0.82	0	0	13.115	0	0	0	0	0	0	13.934	0.82	0	0	0
BA039	0	2.399	0	0	0.369	0.185	43.727	0	0.185	0.185	0	0	11.993	0	0	16.236	0.185	0	0	0	0.185	0	0.185	0	0.185	1.292	0	9.225	0	0	0	0	0.185	0.369	11.255	1.661	0	0	0
BA040	0	1.808	0	0	0.181	0	41.049	0.362	0.542	0.181	0	0	12.658	0	0	23.146	0.181	0	0	0	0	0	0.181	0	0.181	0	0	8.861	0	0	0	0	0	0.181	9.765	0.723	0	0	0
BA041	0	9.701	4.478	0	2.985	0	2.239	0	0	0	0	0	29.104	0	0	29.851	0	0	0	0	0	0	0	0	1.119	8.582	0	5.224	0	0	0.373	0	0	0.746	5.597	0	0	0	0
BA042	0	4.416	0.315	0	0.315	0.315	6.309	0	0.315	0	0	0	32.177	0.315	0	18.927	0.631	0	0	0	0	0	7.886	0	0	0.631	0	10.41	0	0	0	0	0	0	16.088	0.946	0	0	0
BA043	0	4.813	0.535	0	0	0	1.872	0	0	0	0	0	36.096	0.535	0	21.658	0.267	0	0.267	0	0	0	6.952	0	0.535	0.267	0	9.358	0	0	0.267	0	0.535	0.535	15.241	0.267	0	0	0
BA044	0	5.851	1.596	0	5.851	0	7.447	0	1.064	0	0	0	11.17	0	0	35.106	0	0	0	0	0	0	8.511	0	2.128	1.064	0	5.851	0	0	0	0	0.532	0	12.766	1.064	0	0	0
BA045	0	2.655	0	0	0	0.295	3.54	0.59	0.295	0	0.295	0	29.204	0.295	0	24.484	0.59	0	0.295	0	0	0.295	6.195	0	0.295	1.77	0	4.72	0	0	0.295	0	0	1.475	20.944	1.475	0	0	0
BA046	0	3.806	0	0	0	0	5.882	1.384	1.73	0	0	0	36.332	0.692	0	24.221	0.346	0	0	0	0	0	2.422	0.346	0.346	0	0	5.882	0	0	0	0	0.346	0.346	13.841	1.038	1.038	0	0
BA047	0	4.36	0	0	0.291	0	3.488	0.291	1.453	0	0	0	41.279	0.581	0	16.57	0.291	0	0	0	0	0	3.198	0.291	0.291	0	0	7.558	0	0.291	0	0	0.872	0.872	15.988	2.035	0	0	0
BA048	0	2.388	0.299	0	0.896	0.299	2.09	0	0.299	0	0	0	34.328	0	0	22.985	0.299	0	0	0	0	0	6.269	0.597	0.299	0.597	0	1.791	0	0	0	0	0.299	0.896	22.09	2.09	1.194	0	0
BA049	0.826	2.479	1.653	0	1.653	0	14.05	0	0	0	0	0	33.058	0	0	13.223	0	0	0	0	0	0.826	1.653	0	0.826	19.008	0	6.612	0	0	0	0	0.826	0.826	1.653	0.826	0	0	0
BA050	0	1.734	0	0	1.156	0	2.312	0	0.867	0	0	0.289	34.971	0.867	0	22.832	0	0	0	0	0	0	3.757	0	1.156	12.139	0	8.382	0	0	0	0	0	0	6.936	2.601	0	0	0
BA051	0	5.24	0	0	0.655	0	8.952	0.218	0.437	0.218	0	0	22.926	1.528	0	11.79	1.965	0	0	0	0	1.092	3.057	0.437	0.218	2.402	0	8.297	0	0	0	0	0	3.275	19.214	8.079	0	0	0
BA052	0	1.858	0	0	0.31	0	4.334	1.238	0.929	0.31	0	0	37.152	1.858	0	7.74	0.619	0	0	0	0	0.31	8.978	0	0.31	0.619	0	10.217	0	1.238	0	0	1.238	1.238	17.647	1.858	0	0	0
BA053	0	2.198	0.275	0	0.549	0	2.198	0.275	0.824	0	0	0	21.703	1.648	0	26.099	0.549	0	0.275	0	0	0	7.967	0.275	0	3.571	0	10.714	0	0	0	0	0.275	1.099	14.56	4.67	0.275	0	0
BA054	0	2.667	0	0	0	0	20.333	1.333	1	0	0	0	15.667	0.333	0	32.333	0.667	0	0	0	0	0	0.333	0.333	0.333	0.333	0	10.667	0	0	0	0	0	0.667	12	1	0	0	0
BA055	0	1.331	0.499	0	0.666	0	2.329	0	1.83	0.333	0	0	28.453	0	0	21.963	0	0	0	0	0	0	10.483	0.333	0.333	3.161	0	7.987	0	0	0	0	0	2.163	12.646	5.491	0	0	0
BA056	0	3.947	0.526	0	1.053	0.263	4.737	0	2.105	0	0	0	19.737	0.263	0	22.105	0.526	0	0	0	0	0.789	2.895	0.263	0.263	2.895	0	11.579	0	0.263	0	0	0.263	1.316	16.316	7.895	0	0	0
BA057	0	0	0	0	0.293	0	4.399	0	0.88	0	0	0	25.513	0	0	47.507	0.587	0	0	0	0	0	1.466	0	0	0.293	0	9.091	0	0	0	0	0	0	8.798	1.173	0	0	0
BA058	0	3.017	1.293	0	0.862	2.155	0.862	0	0	0	0	0	39.224	0.862	0	18.534	5.172	0	0	0	0	0	3.448	0	0	2.155	0	2.155	0	1.724	0	0	0	0.862	10.345	5.603	1.724	0	0
BA059	0	1.737	0	0	1.737	0	1.985	0.496	1.489	0.993	0	0	39.95	0.993	0	16.625	0.248	0	0	0	0	0	5.211	0.496	1.985	3.722	0	5.955	0	0	0	0	0	0.993	11.911	3.474	0	0	0
BA060	0	0	1.695	0	3.39	0	5.932	0	0	1.695	0	0	34.322	1.695	0	6.356	0.847	0	0	0	0	0	2.542	0	3.814	17.373	0	5.932	0	0.847	0	0	0	2.966	6.356	4.237	0	0	0
BA061	0	5.147	0.368	0	0.368	0	4.779	0.735	1.103	0	0	0.368	52.941	1.103	0	9.559	0	0	0	0	0	0	2.206	0	0.735	4.412	0	3.676	0	0	0	0	0	0	6.985	5.515	0	0	0
BA062	0	5.505	0.459	0	2.294	0.917	5.046	0.459	1.835	0	0	0	42.202	1.835	0	7.798	0.459	0	0	0	0	0.459	3.211	0	1.835	6.881	0	5.505	0	0	0	0	0	0.917	7.339	5.046	0	0	0
BA063	0	4.167	0	0	4.167	0.379	4.167	0.379	0.758	0	0	0	39.015	0.379	0	6.061	0.758	0	0	0	0	0.379	6.439	0	1.136	15.909	0	4.924	0	0.379	0	0	0.379	1.515	5.682	3.03	0	0	0
BA064	0	5.153	0	0	0.763	0	2.672	0	1.527	0	0	0	21.183	0.954	0	8.588	0.382	0	0	0	0	0.573	15.649	0.954	0	1.145	0	8.015	0	0	0	0	3.244	0.763	24.618	2.672	1.145	0	0
BA065	0	4.144	0	0	0	0	3.039	1.381	0.829	0	0	0	24.309	0.829	0	15.47	1.105	0	0	0	0	0	6.354	0.276	0.552	1.657	0	6.077	0	0.552	0.276	0	0.552	1.105	24.586	6.077	0.829	0	0
BA066	0	6.132	0.472	0	1.887	0	4.717	0	0.472	0.943	0	0	44.34	1.887	0	4.245	0	0	0	0	0	0	1.887	0	1.887	7.075	0	7.547	0	0.472	0.472	0	0	0	10.849	4.717	0	0	0
BA067	0	2.867	0	0	1.792	0.717	3.584	0	0.717	0	0	0	30.466	1.792	0	11.111	0.358	0	0	0	0	0	7.168	0	0.358	2.151	0	12.545	0	0	0.358	0	1.075	1.434	10.753	9.677	1.075	0	0
BA069	0	1.311	0	0	0.984	0.328	19.672	0.328	0.656	0	0.328	0	22.951	0.984	0	26.557	1.639	0	0.328	0	0	0.328	0.984	0.328	0	0.656	0	4.918	0	0	0	0	0.656	0.656	13.115	2.295	0	0	0
BA070	0	1.961	0.49	0	1.961	1.471	8.824	0.49	2.941	1.961	0	0	28.922	0.98	0	6.863	0.49	0	0	0	0	0	11.765	0.98	0	5.392	0	6.373	0	0	0	0	0	1.471	7.353	9.314	0	0	0
EAA001	0	2.027	0	0	0.225	0	3.378	0.225	0	0	0	0	63.514	0	0	0.225	0	0	0	0	0	0	0.225	0.45	8.333	12.838	0	2.928	0	0	0	0	0.225	0.225	3.378	1.351	0.45	0	0
EAA002	0	6.015	0	0	1.754	0.251	7.018	0.501	0.501	0.752	0	0	44.11	0.752	0	0.251	0	0	0	0	0	0	2.005	2.005	6.266	14.035	0	4.01	0	0	0	0	0.501	1.003	7.018	1.253	0	0	0
EAA003	0	0.987	0	0	0.329	0	2.961	0.329	0.329	0	0	0	57.895	0.987	0	0.658	0.329	0	0	0	0	0	0.329	0.658	3.947	15.461	0	3.947	0	0.329	0	0	0	0.987	8.553	0.987	0	0	0
EAA004	0	1.974	0.329	0	1.645	0	1.316	0.987	0	0	0	0	40.132	0.329	0	0	0	0	0	0	0	0	1.316	1.645	7.566	28.289	0	3.289	0	0	0	0	0	1.316	9.539	0.329	0	0	0
EAA005	0	1.814	0.68	0	1.134	0.227	4.989	0.454	0.68	0	0	0	48.98	0.68	0	0.454	0	0	0	0	0	0	1.134	1.361	4.308	12.472	0	5.442	0	0.227	0	0	0.227	0.227	13.605	0.68	0	0.227	0
EAA006	0	4.155	0.831	0	1.108	0.277	6.925	2.216	0	0	0	0	32.133	2.216	0	0.554	0	0	0	0	0	0	2.493	0	23.546	8.31	0	3.878	0	0	0	0	0	1.385	7.479	2.493	0	0	0
EAA007	0	6.343	0.746	0	0.746	0	8.582	0.373	1.119	0.373	0	0	35.075	0.373	0	0.373	0	0	0	0	0	0	10.448	0.373	11.94	4.478	0.373	7.09	0	0	0	0	0	0	5.97	4.851	0	0.373	0
EAA008	0	9.386	1.444	0	6.498	1.083	10.83	1.083	0	0.361	0	0	15.162	0	0	1.444	0	0	0	0	0	0	6.137	0	25.632	10.469	0	3.61	0	0.361	0	0.361	0.361	0.722	2.166	2.888	0	0	0
EAA009	0	12.766	0.355	0	2.482	0	7.447	0.709	0.709	0	0	0	23.759	0	0	0.355	0	0	0	0	0	0	4.965	0	15.248	7.447	0	9.929	0	0	0	0	0.709	4.255	2.482	6.383	0	0	0
EAA010	0	15.603	0.355	0	0.709	0	17.73	0.355	0	0.355	0	0	23.05	1.773	0	0	0	0	0	0	0	0	1.773	0.709	7.447	19.504	0	4.255	0	0	0	0	0.709	0.709	3.901	1.064	0	0	0
EAA011	0	8.943	0	0	3.659	0.407	7.724	1.22	0	0	0	0	19.106	2.846	0	0	0.407	0	0	0	0	0	2.033	1.22	11.789	30.081	0	2.033	0	0	0	0	0.407	1.626	4.472	2.033	0	0	0
EAA012	0	5.229	0	0	0.98	0	13.072	2.614	0.98	0.327	0	0	15.686	0.327	0	0.654	0	0	0	0	0	0	4.902	0	9.477	4.248	0	27.778	0	0	0	0	1.307	0	8.17	3.922	0	0.327	0
EAA013	0	9.22	0.709	0	4.255	0	7.092	0.709	0	0	0	0	17.021	0.709	0	2.128	0	0	0	0	0	0	24.823	0	7.801	7.092	0	7.801	0	0	0	0	0	1.418	5.674	3.546	0	0	0
EAA014	0	5.568	0.232	0	0.464	0.232	2.784	4.408	0.696	0.464	0	0	46.868	0.232	0	0.232	0.464	0	0	0	0	0	3.944	0	13.689	2.32	0	6.961	0	0	0	0.232	0.464	1.16	5.568	3.016	0	0	0
EAA015	0	9.5	1.167	0	2	0.167	14.833	1.667	1.333	0.667	0	0	15	0.167	0	1	0	0	0	0	0	0	2.667	0.167	16.333	9.833	0.167	10.5	0	0	0	0	1.5	1.167	5.833	4	0.167	0	0.167
EAA016	0	5.921	0.987	0	0.987	0.329	2.961	0.987	1.974	0.329	0	0	15.132	1.974	0	0.329	0.329	0	0	0	0	0	25.658	0.329	5.921	3.289	0	11.184	0	0	0	0	1.645	2.303	7.566	9.868	0	0	0
EAA017	0	11.227	0.261	0	3.394	0	8.877	0.783	0.522	0	0	0	8.094	0	0	1.044	0	0	0	0	0	0	15.666	0	24.282	6.527	0.261	6.266	0	0	0	0.522	1.044	0.522	2.872	7.833	0	0	0
EAA018	0	9.705	1.688	0	1.266	0	10.127	2.11	2.532	0	0	0	12.236	0.422	0	1.266	0	0	0	0	0	0	4.641	0	14.768	13.502	0	18.987	0	0	0	0	0.422	0	4.641	1.688	0	0	0
EAA020	0	17.131	0	0	6.375	0	21.514	0	0.398	0	0	0	10.359	1.195	0	4.382	0	0	0	0	0	0	5.179	0	16.335	1.594	0	8.765	0	0	0	0	1.195	0.797	3.984	0.797	0	0	0
EAA021	0	25.581	0	0	9.884	0	11.628	0	0.581	0	0	0	5.814	0	0	2.326	0	0	0	0	0	0	6.977	0	14.535	6.977	0	6.977	0	0	0	1.163	2.907	0	3.488	1.163	0	0	0
EAA022	0	16.194	0.405	0	13.765	0.81	14.17	0	0	0	0	0	5.668	0.81	0	2.429	0.405	0	0	0	0	0	6.073	0	19.433	9.717	0	4.858	0	0	0	0	0	1.215	1.619	2.429	0	0	0
EAA023	0	4.061	1.015	0	2.03	0	8.122	3.046	2.03	0.508	0.508	0	24.365	2.03	0	0.508	0	0	0	0	0	0	7.614	3.046	5.076	3.553	0	11.675	0	0.508	0	0	3.046	2.03	8.122	5.076	2.03	0	0
EAA024	0	1.813	0	0	0.906	0	4.834	11.178	3.927	0	0	0	18.127	2.417	0	0	0	0	0	0	0	0	2.115	1.813	4.23	6.647	0	22.054	0	0.302	0	0	0.604	0	11.178	7.855	0	0	0
EAA025	0	4.07	0.581	0	0.581	0	5.814	1.163	0	0	0	0	18.023	0.581	0	0	0	0	0	0	0	0	2.907	0	32.558	10.465	0	15.116	0	0	0	0	1.163	0.581	5.814	0.581	0	0	0
EAA026	0	6.087	1.304	0	1.739	0	8.261	4.348	1.304	0.435	0	0	28.261	0	0	0.435	0	0	0	0	0	0	2.174	0	18.696	5.217	0	8.261	0	0	0	0	0.435	1.739	9.565	1.739	0	0	0
EAA027	0	5.59	0	0	3.106	0	15.528	2.484	0	0.621	0	0	9.317	0	0	0.621	0	0	0	0	0	0	4.348	0.621	9.317	17.391	0	9.938	0	0	0	0	0	0	18.634	2.484	0	0	0
EAA028	0	6.897	0	0	0	0	11.494	0.383	0.383	0	0	0	24.904	0.383	0	0	0	0	0	0	0	0	3.448	0	11.877	5.747	0.766	18.774	0	0.766	0	0	0	1.916	10.345	1.916	0	0	0
EAA029	0	3.285	0	0	0.365	0	4.015	2.19	1.46	0	0	0	18.613	0	0	0.365	0	0	0	0	0	0	14.234	2.555	2.92	3.65	0	34.307	0	0	0	0	3.285	0.365	5.474	2.92	0	0	0
EAA030	0	4.906	1.887	0	0.377	0.755	6.038	1.132	2.642	0	0.377	0	18.113	0.755	0	0.377	0.377	0	0	0	0.755	0	6.415	2.642	11.321	16.981	0	9.811	0	0	0	0	1.887	1.132	9.434	1.887	0	0	0
EAA031	0	4	1.6	0	1.6	0.8	16	0	0.8	0.8	0	0	22.4	0	0	0	0	0	0	0	0	0	3.2	7.2	8	9.6	0	12.8	0	0	0	0	2.4	0.8	4.8	2.4	0.8	0	0
EAA032	0	1.887	0.943	0	1.258	0	2.83	2.201	0.943	0	0	0	11.635	0	0	0	0	0	0	0	0	0	3.774	0.314	11.321	2.516	0	44.969	0	0	0	0	12.264	0	2.516	0.629	0	0	0
EAA033	0	3.867	0	0	0	0	9.945	4.42	3.315	1.105	0	0	4.42	0.552	0	0	0	0	0	0	0	0	8.84	7.735	8.287	19.337	0.552	17.127	0	0	0	0	1.105	2.21	3.867	2.21	1.105	0	0
EAA034	0	5.634	0	0	3.169	0	4.93	3.521	2.465	0	0	0	3.169	0.352	0	0	0	0	0	0	0.352	0	4.93	4.577	18.31	20.775	0.352	20.775	0	0	0	0	0.704	0	2.113	3.873	0	0	0
EAA035	0	2.857	0	0	1.429	0.476	15.238	1.429	1.905	0.476	0	0.476	7.143	0.476	0	0.476	0	0	0	0	0	0	8.095	2.381	19.524	6.19	0.476	25.714	0	0.476	0	0	0	0.476	3.333	0.952	0	0	0
EAA036	0	5.769	0	0	0	0	4.808	0	4.808	0	0	0	7.692	0	0	20.192	0	0	0	0	0	0	26.923	0	0.962	1.923	0	7.692	0	0	0	0	0.962	1.923	14.423	1.923	0	0	0
EAA037	0	1.095	0.365	0	0	0.365	1.46	0.365	0	0	0	0	28.467	1.825	0	1.46	0	0	0	0	0	0	4.38	0.73	1.095	2.92	0	10.949	0	0.73	0	0	0.73	6.934	30.657	5.109	0	0.365	0
EAA038	0	0	0	0	0	0	1.556	1.167	1.946	0	0	0	4.28	1.946	0	0	0	0	0	0	0	0	19.844	5.058	0	0.389	0.389	24.903	0	0	0	0	1.167	1.556	26.07	9.339	0.389	0	0
EAA039	0	0.314	0	0	0	0	1.258	0.943	1.572	0.314	0	0	2.201	1.258	0	2.201	0	0	0	0	0	0	10.692	2.516	0.314	0.314	0	31.761	0	0	0	0	0.943	2.83	35.849	4.088	0.629	0	0
EAA040	0	0.304	0	0	0.608	0	0.912	0.912	2.432	0	0	0	6.687	1.824	0	0.608	0	0	0	0	0	0	5.167	0.912	0.304	0	0	20.365	0	0	0	0	0	1.824	50.456	5.471	1.216	0	0
EAA041	0	0.912	0	0	0	0.304	5.471	0.304	0.912	0	0	0	7.599	3.647	0	2.128	0	0	0	0	0	0	5.471	0.304	0.608	0.304	0	24.012	0	0	0	0	0.304	1.52	44.073	2.128	0	0	0
EAA042	0	0.299	0	0	0.299	0.299	0.299	1.796	1.198	0	0	0	13.772	4.79	0	0.599	0	0	0	0	0	0	11.976	1.198	1.796	0	0	14.671	0	0.299	0	0	0.599	1.497	43.413	1.198	0	0	0
EAA043	0	5.364	0	0	0	0	6.13	0	0	0	0.766	0.383	6.897	0.766	0	0.383	0	0	0	0	0	0	35.632	0.383	2.682	4.598	0	13.41	0	0	0	0	0.383	0.383	16.858	4.981	0	0	0
EAA044	0	1.639	0	0	0	0	1.093	0	0.546	0	0	0	4.918	0	0	2.186	0	0	0	0	0	0	9.836	1.093	0.546	0	0	34.426	0	0.546	0	0	12.568	1.639	27.322	1.639	0	0	0
EAA045	0	1.099	0	0	0	0	1.832	0.366	0.733	0	0	0	14.652	1.832	0	4.029	0	0	0	0	0	0	31.136	0.733	0	0.366	0	14.286	0	0	0	0	0.733	0.366	23.443	2.198	0	2.198	0
EAA046	0	1.19	0	0	0	0	1.786	0	0.298	0	0	0	34.226	0	0	1.19	0	0	0	0	0	0	15.179	0.298	0.595	1.19	0	12.202	0	0.298	0	0	0.595	0.298	28.571	2.083	0	0	0
EAQ001	0	9.692	0	0	0.881	0.441	8.37	0	0	0	0	0	54.405	0	0	7.93	0	0	0	0.441	0	0	0	0	7.269	0.661	0	3.304	0	0.661	0	0	0	0	5.947	0	0	0	0
EAQ002	0	4.789	0.282	0	3.662	1.69	9.296	0	0	0	0	0.845	25.352	0	0	5.352	0	0	0	0	0	0	0	0	33.803	8.451	0	4.507	0	0.282	0.282	0	0	0	1.408	0	0	0	0
EAQ003	0	35.13	0.998	0	1.198	0.2	13.972	0	0	0	0	0	14.371	0	0	0.998	0	0	0	0	0	0	0	0	24.95	4.192	0	1.198	0	0	0	0	0	0	2.794	0	0	0	0
EAQ004	0	7.981	0	0	0.704	0.704	4.695	0	0.939	0	0	0.235	56.103	0	0	1.408	0.469	0	0	0	0	0.235	2.113	0	5.399	3.286	0	6.808	0	1.174	0	0	0.704	0.704	5.634	0.469	0	0	0.235
GA001	0	5.78	0.963	0	0.385	0.193	7.9	0	0	0	0	0	22.158	0	0	50.482	0	0	0	0	0	0	0	0	1.734	0.771	0	1.349	0	0	0	0.193	0	0	8.092	0	0	0	0
GA002	0	2.832	0.871	0	0	0	15.251	0	0.218	0.654	0	0	16.34	0	0	50.327	0	0	0	0	0	0	0	0	1.307	0.436	0	6.972	0	0.218	0	0	0	0	4.575	0	0	0	0
GA003	0	1.613	0.922	0	0	0.23	20.737	0	0.922	0	0	1.613	17.281	0	0	24.654	0.23	0	0	0	0	0	0	0	0.922	0.23	0.23	21.889	0	0	0	0.23	0	0.23	7.834	0	0	0.23	0
GA004	0	0.5	0.167	0	0	0.167	42.5	0	0	0	0	0	9.833	0	0	23.5	0	0	0	0	0	0	0	0	0.167	0.167	0	19.667	0	0	0	0	0.167	0	3.167	0	0	0	0
GA005	0	0.943	0.377	0	0.189	0	47.547	0	0	0	0	0	22.642	0	0	16.792	0	0	0	0	0	0	0.189	0	0.566	0.189	0	7.736	0	0	0	0	0.189	0	2.642	0	0	0	0
GA006	0	2.613	0.174	0	0.174	0	62.021	0	0.174	0	0	0	3.136	0	0	22.474	0	0	0	0	0	0.174	0.174	0	0	1.045	0	4.878	0	0	0	0	0	0	2.787	0.174	0	0	0
GA007	0	4.906	0.377	0	0.566	0.189	18.491	0	0	0	0	0.189	9.623	0	0	45.66	0	0	0.189	0	0	0	0.377	0	2.264	0.189	0	10.943	0	0	0	0	0.189	0	5.66	0	0	0.189	0
GA008	0	2.641	0.176	0	0.176	0	62.676	0	0.176	0	0	0	3.169	0	0	22.711	0	0	0	0	0	0.176	0.176	0	0	0	0	4.93	0	0	0	0	0	0	2.817	0.176	0	0	0
GA009	0	4.887	0.376	0	0.564	0.188	18.045	0	0	0	0	0.188	9.586	0	0	45.677	0	0	0.188	0	0	0	0.376	0	2.256	0.564	0	11.09	0	0	0	0	0.188	0	5.639	0	0	0.188	0
GA010	0	0.427	0.427	0	0	0.641	15.385	0	0.641	0	0	0.641	33.12	0	0	16.667	0	0	0	0	0	0	0.427	0	0	0.427	0	17.735	0	0	0	0	0	0	13.248	0.214	0	0	0
GA011	0	0.977	0.781	0	0.391	0	42.188	0	0	0	0	0.586	10.547	0	0	20.508	0	0	0	0	0	0	0.195	0	0.195	0	0	20.117	0	0	0	0	0.586	0	2.93	0	0	0	0
