OBSNAME	PABI	BALN	CAMB	APIA	CART	TULI	BBET	BRAS	CARY	CHEN	BCOR	CUPR	CYPE	RDRY	ELAE	ERIC	FABA	FFAG	OFRA	PLAR	MMYR	ONAG	POXR	PAPA	PPIC	PPIN	PPLA	POAC	POLE	POLY	SPOP	FQUE	RANU	ROSA	SSAL	SAXI	SCRO	RTHA	ULMA
WSAW023	0	13.36	0	0.81	1.215	0.81	17.409	0	0.202	0	0	0	22.874	0	0	7.692	0	0	0	0	0.202	0	0.202	0	1.215	0	0	29.555	0	0.202	0	0	0.405	2.429	1.012	0.202	0	0.202	0
WSAW024	0	27.897	0	0	0	0.644	8.584	0	0	0	0	0	15.021	0	0	0	0.215	0	0	0	0.644	0	0	0	3.219	0	0	31.545	0	0	3.648	0	0.215	2.575	5.794	0	0	0	0
WSAW025	0	10.297	0	0.198	1.188	0.594	10.495	0	0	0	0	0	37.822	0	0	5.347	0	0	0	0	0	0	0.198	0	2.574	0	0	26.931	0	0	0	0	0	2.574	1.782	0	0	0	0
WSAW026	0	13.365	0	0	0	0	18.616	0	0	0	0	0	23.15	0	0	6.683	0	0	0	0	0	0	0	0	0	0	0	38.186	0	0	0	0	0	0	0	0	0	0	0
WSAW027	0	15.936	0	0.199	0	0	34.861	0	0	0	0	0	10.956	0	0	6.972	0	0	0	0	0	0	0	0	7.371	0	0	21.116	0.199	0.199	0.996	0	0	0.598	0.598	0	0	0	0
WSAW028	0	37.838	0	0	0.225	0.45	18.468	0	0.45	0	0	0	14.865	0	0	3.604	0	0	0	0	0	0	0	0	2.027	0	0	17.793	0.225	0	0.225	0	0	0.901	2.928	0	0	0	0
WSAW029	0	33.477	0	0	0.864	0	16.631	0.216	0	0	0	0	13.391	0	0	2.376	0.216	0	0	0	0	0	0	0	5.184	0	0	20.95	0.216	0.216	0.216	0	0.648	0.864	4.32	0	0	0.216	0
WSAW030	0	23.529	0	0	1.412	0.471	21.882	0	0.706	0	0	0	16.235	0	0	2.353	0	0	0	0	0	0	0.235	0	7.059	0	0	22.118	0	0	0.235	0	0	0.471	3.059	0	0	0.235	0
WSAW031	0	76.623	0	0.325	0.649	0	7.143	0	0	0	0	0	2.597	0.325	0	0.974	0	0	0	0	0	0.325	0.325	0	3.571	0	0	5.844	0	0	0	0	0	0	0.649	0.649	0	0	0
WSM001	0	33.786	0	0	0.971	0	33.592	0	0	0.194	0	0	2.33	0	0	1.359	0	0	0	0.194	0.583	0.194	0	0	21.553	0.583	0	2.136	0	0	0	0	0	0.388	2.136	0	0	0	0
WSM002	0	25.231	0	0	1.157	0	30.556	0	0	0	0	0	6.481	0	0	0.926	0	0	0	0.231	0	0	0.463	0	27.546	1.852	0	4.63	0	0	0	0	0	0.463	0.463	0	0	0	0
WSM003	0	15.351	0.219	0	0.219	0.219	8.772	0	0	0.219	0	0.219	5.921	0	0.439	0.658	0	0	0	0	0	0	0.219	0	59.868	4.386	0	1.316	0.219	0	0.219	0	0	0	1.535	0	0	0	0
WSM004	0	52.165	0	0	0.216	0	28.355	0	0	0	0	0	3.03	0	0	0.216	0	0	0	0	0	0	0	0	11.472	0.216	0	2.381	0	0	0	0	0.216	0	1.732	0	0	0	0
WSM005	0	23.174	0	0	0.682	0	39.533	0.195	0.195	0	0	0	17.235	0	0	3.311	0	0	0	0	0	0	0.097	0	3.7	0	0	8.277	0	0	0.195	0	1.168	0.097	1.85	0.195	0.097	0	0
WSM006	0	29.298	0	0	0.484	0	28.571	0	0	0	0	0	4.116	0	0	0.969	0	0	0	0	0.484	0	0	0	30.024	0.969	0	2.421	0	0	0	0	0.242	0.242	2.179	0	0	0	0
WSM007	0	53.309	0	1.691	0.294	0.147	25.956	0.074	0	0.074	0	0	3.897	0	0.074	1.471	0.515	0	0	0	0.074	0	0.074	0	9.338	0	0	1.176	0	0	0	0	0	0.368	1.25	0.221	0	0	0
WSM008	0	33.176	0.059	0	1.892	0.118	31.461	0.059	0	0.059	0	0	8.752	0	0	9.225	0.118	0	0	0	0	0	0.059	0	8.811	0	0	3.548	0.118	0	0	0	0.237	0	1.952	0.177	0.118	0.059	0
WSM009	0	27.543	0	0	0	0	31.017	0	0	0	0	0	5.955	0	0	1.241	0	0	0	0	0.496	0	0	0	28.784	0.496	0	1.985	0	0	0	0	0	0	2.481	0	0	0	0
WSM010	0	28.606	0	0	0.489	0	27.384	0	0	0	0	0	6.112	0	0.244	0.733	0	0	0	0.244	0.733	0	0	0	30.073	0.978	0	3.178	0	0	0	0	0	0.244	0.978	0	0	0	0
WSM011	0	58.2	0	0	0.4	0	14.8	0.2	0	0	0	0	5.2	0	0	0.8	0	0	0	0	0.2	0	0	0	16.4	1	0	1.6	0	0	0	0	0	0.2	1	0	0	0	0
WSM012	0	27.218	0	0	0.605	0	32.863	0	0	0	0	0	4.839	0	0	1.411	0	0	0	0	0.202	0	0	0	28.427	0.403	0	1.411	0	0	0	0	0	0.403	2.218	0	0	0	0
WSM013	0	32.009	0	0	0.234	0	28.271	0	0	0	0	0	3.738	0	0	0.234	0	0	0	0	0.701	0	0	0	29.673	0.467	0	3.037	0	0	0	0	0	0.234	1.402	0	0	0	0
WSM014	0	30.462	0	0	0.21	0	27.101	0	0	0	0	0.21	7.983	0	0	0.63	0	0	0	0.21	0	0	0	0	27.101	1.261	0	2.311	0	0	0	0	0	0	2.311	0	0	0.21	0
WSM015	0	45.333	0	0	0.889	0.222	18.222	0.222	0.222	0	0	0	6.222	0	0.222	2	0.222	0	0	0	0.444	0	0	0	20.222	1.111	0	1.778	0	0	0.444	0	0	0.222	1.778	0	0	0.222	0
WSM016	0	45.702	0	0	1.048	0.629	26.834	0.21	0	0	0	0	4.403	0	0.21	2.935	0	0	0	0	0	0	0	0	13.417	0.839	0	0	0	0	0	0	0	0.419	3.354	0	0	0	0
WSM017	0	47.826	0	0	0	0.207	29.607	0	0.207	0	0	0	3.106	0	0.414	1.863	0.207	0	0	0	0.414	0	0.207	0	9.731	0.828	0	3.313	0	0	0	0	0	0.414	1.449	0	0	0	0.207
WSM018	0	51.794	0	0	0.468	0	20.905	0	0	0	0	0	7.8	0	0.156	2.808	0.312	0	0	0	0.156	0	0	0	10.92	0.624	0	2.184	0	0	0	0	0.156	0	1.716	0	0	0	0
WSM019	0	44.712	0	0	0	0	34.615	0	0	0	0	0	2.885	0	0	0.962	0	0	0	0	0	0.481	0	0	11.058	0.481	0	2.404	0	0	0	0	0	0	2.404	0	0	0	0
WSM020	0	54.752	0	0	0.207	0.413	18.802	0.413	0	0.207	0	0	6.818	0	0.207	0.62	0.207	0	0	0	0.413	0	0	0	13.43	1.446	0	0.207	0	0	0	0	0	0	1.86	0	0	0	0
WSM021	0	56.154	0	0	0.192	0	20.385	0	0	0.385	0	0.577	1.923	0	0.192	0.385	0	0	0	0	1.154	0	0	0	13.462	0	0	3.077	0	0	0	0	0	0.192	1.923	0	0	0	0
WSM022	0	56.496	0	0	0	0.197	25.197	0	0	0	0	0	5.906	0	0	2.165	0	0	0	0	0	0	0	0	4.331	0.394	0	1.772	0	0	0	0	0	0	3.543	0	0	0	0
WSM023	0	20.047	0.079	0	1.73	0.393	21.148	0.236	0.393	0.236	0	0	21.462	0.314	0	1.022	0	0	0	0	0.079	0.393	0.314	0	19.89	0.943	0.314	5.975	0.079	0	0	0	0.079	0.708	3.852	0.236	0.079	0	0
WSM024	0	20.606	0	0	1.364	0.379	19.318	0.076	0.152	0.076	0	0.152	24.318	0.076	0	0.682	0.076	0	0	0	0.303	0	0.455	0	19.167	1.212	0.53	4.697	0	0	0	0	0	0.758	4.773	0.758	0	0.076	0
WSM025	0	21.033	0.094	0	2.16	0.469	21.972	0.188	0	0	0	0.188	19.624	0	0.188	0.751	0	0	0	0	0.188	0	0.469	0	21.127	1.315	0	6.667	0	0	0	0	0.094	0.469	2.723	0.188	0.094	0	0
WSM026	0	55.385	0	0	0.308	0.308	25.231	0	0	0	0	0	5.538	0	1.538	3.385	0	0	0	0.308	0	0	0	0	4.308	0	0	2.462	0	0	0	0	0	0	1.231	0	0	0	0
WSM027	0	50.867	0	0	0.867	0.145	24.855	0	0.145	0	0	0	6.647	0	0	1.879	0	0	0	0	0	0	0.145	0	6.214	0.289	0	5.347	0	0	0	0	0.723	0.434	1.445	0	0	0	0
WSM028	0	15.882	0.126	0	1.883	0.628	24.984	0	0.126	0.188	0	0.188	18.581	0.251	0.251	0.628	0.188	0	0	0	0.565	0	0.377	0	21.343	0.439	0.063	7.659	0	0	0	0	0.188	0.502	4.457	0.439	0.063	0	0
WSM029	0	20.029	0	0	1.86	0.572	17.167	0.143	0	0	0	0	27.754	0	0	0.858	0	0	0	0	0	0	0.143	0	21.602	1.144	0	4.864	0	0	0	0	0.286	0.572	2.575	0.286	0	0.143	0
WSM030	0	22.101	0.136	0	3.956	0.682	19.1	0.136	0.136	0.136	0	0	19.918	0.682	0.136	1.637	0	0	0	0	0.136	0	1.228	0	20.327	2.046	0	3.274	0	0	0	0	0.273	0.546	2.456	0.955	0	0	0
WSM031	0	23.356	0	0	0.687	0.589	17.566	0.098	0.098	0.098	0	0.196	29.441	0	0	0.589	0	0	0	0	0.098	0	0.098	0	20.412	1.57	0	2.846	0	0	0	0	0	0.589	1.472	0.196	0	0	0
WSM032	0	27.155	0	0	1.94	0.323	21.875	0.216	0.216	0	0	0.431	23.168	0.216	0	0.97	0	0	0	0	0.108	0	0.431	0	14.547	1.616	0.108	3.017	0	0	0	0	0	0.647	2.586	0.431	0	0	0
WSM033	0	21.721	0	0	1.533	0.681	22.487	0.256	0	0.085	0	0	28.024	0.596	0	0.596	0.085	0	0	0	0.085	0	1.448	0	13.032	1.107	0.085	3.492	0	0	0	0	0.17	1.278	2.811	0.426	0	0	0
