OBSNAME	LONG	LATI
WAB004	-122.95	71.1333
WAB005	-122.85	71.1333
WAB006	-122.7833	71.15
WAB007	-122.45	71.3167
WAB008	-120.9167	71.5667
WAB009	-120.7	71.5667
WAB010	-120.75	71.6
WAB011	-120.75	71.6167
WAB012	-120.65	71.7
WAB013	-122.7	71.75
WAB014	-122.6667	71.7833
WAB015	-120.6833	71.8333
WAB016	-120.7	72.0833
WAB017	-119.3	72.7167
WAB018	-119.1667	72.7833
WAB019	-119.0833	72.8
WAB020	-118.9333	72.8833
WAB021	-119.1667	72.9333
WAB022	-117.6667	73.05
WAB023	-117.5833	73.0833
WAB024	-117.3833	73.1
WAB025	-118.4667	73.1167
WAB026	-117.4	73.15
WAB027	-117.3333	73.2333
WAB028	-118.2833	73.3833
WAB029	-117.9333	73.4333
WAB030	-117.9167	73.45
WAB031	-120.6333	73.5333
WAB032	-117.5667	73.5333
WAB033	-117.5	73.55
WAB034	-116.45	73.55
WAB035	-116.4167	73.5833
WAB036	-116.3333	73.7167
WAB037	-116.3667	73.7667
WAB038	-116.55	73.8333
EBL001	-56.196	50.034
EBL002	-57.2	51.45
EBL003	-57.233	51.5
EBL004	-57.3	51.517
EBL005	-56.75	51.583
EBL006	-57.867	52.083
EBL007	-57.833	52.083
EBL008	-57.45	52.133
EBL009	-57.55	52.2
EBL010	-57.433	52.2
EBL011	-58.05	52.267
EBL012	-57.717	52.367
EBL013	-57.033	52.4
EBL014	-56.667	52.417
EBL015	-56.533	52.45
EBL016	-57.367	52.5
EBL017	-57.033	52.517
EBL018	-65.933	52.533
EBL019	-56.283	52.55
EBL020	-57.817	52.583
EBL021	-65.867	52.6
EBL022	-56.667	52.6
EBL023	-56.183	52.6
EBL024	-56.383	52.733
EBL025	-56.7	52.867
EBL026	-57.75	53.05
EBL027	-58.55	53.233
EBL028	-60.167	53.517
EBL029	-60.617	53.6
EBL030	-60.9	53.617
EBL031	-60.75	53.617
EBL032	-60.683	53.633
EBL033	-60.317	53.683
EBL034	-60.233	53.717
EBL035	-58.917	53.95
EBL036	-61.133	54.3
EBL037	-60.883	54.3
EBL038	-62.883	54.333
EBL039	-61.15	54.367
EBL040	-61.117	54.383
EBL041	-57.717	54.4
EBL042	-61.25	54.417
EBL043	-61.283	54.45
EBL044	-61.2	54.467
EBL045	-61.283	54.567
EBL046	-63.117	54.6
EBL047	-60.15	54.717
EBL048	-63.033	54.767
EBL049	-62.35	54.8
EBL050	-62.383	54.817
EBL051	-63.25	54.867
EBL052	-62.733	54.867
EBL053	-63.033	54.883
EBL054	-62.45	54.883
EBL055	-62.717	54.9
EBL056	-62.65	55.033
EBL057	-62.633	55.033
EBL058	-63.117	55.05
EBL059	-62.733	55.1
EBL060	-62.2	55.1
EBL061	-63.2	55.133
EBL062	-62.733	55.2
EBL063	-62.25	55.217
EBL064	-62.65	55.233
EBL065	-63.2	55.333
EBL066	-65.717	55.383
EBL067	-63.383	55.4
EBL068	-62.033	55.45
EBL069	-63.25	55.667
EBQ001	-68.183	50.033
EBQ002	-67.117	50.13
EBQ003	-80.2	50.22
EBQ004	-66.3	50.317
EBQ005	-68.817	50.367
EBQ006	-77.567	50.6
EBQ007	-68.833	50.65
EBQ008	-77.65	50.917
EBQ009	-68.85	50.983
EBQ010	-77.55	51.1
EBQ011	-66.217	51.4
EBQ012	-77.217	52.083
EBQ013	-67.067	52.25
EBQ014	-77.383	52.683
EBQ015	-76.317	53.092
EBQ016	-77.683	53.567
EBQ017	-76.65	54.028
EBQ018	-76.12	54.047
EBQ019	-76.129	54.147
EBQ020	-84.558	54.322
EBQ021	-70.358	54.356
EBQ022	-69.93	54.424
EBQ023	-66.7667	54.7167
EBQ024	-66.7667	54.7167
EBQ025	-66.7667	54.7167
EBQ026	-66.9	54.767
EBQ027	-66.767	54.767
EBQ028	-66.767	54.767
EBQ029	-66.767	54.767
EBQ030	-66.75	54.767
EBQ031	-66.733	54.767
EBQ032	-76.146	54.799
EBQ033	-67.5	54.8
EBQ034	-66.8	54.8
EBQ035	-66.8	54.8
EBQ036	-66.8	54.8
EBQ037	-66.733	54.8
EBQ038	-73.562	55,0000
EBQ039	-73.55	55,0000
EBQ040	-73.517	55,0000
EBQ041	-73.558	55.002
EBQ042	-73.542	55.002
EBQ043	-73.545	55.003
EBQ044	-73.517	55.003
EBQ045	-67.5	55.017
EBQ046	-75.7	55.067
EBQ047	-75.25	55.092
EBQ048	-75.2833	55.1
EBQ049	-75.25	55.1167
EBQ050	-75.95	55.117
EBQ051	-75.25	55.117
EBQ052	-74.933	55.25
EBQ053	-77.767	55.283
EBQ054	-77.767	55.283
EBQ055	-77.767	55.283
EBQ056	-77.767	55.283
EBQ057	-77.767	55.283
EBQ058	-77.717	55.283
EBQ059	-77.718	55.287
EBQ060	-77.703	55.292
EBQ061	-77.7	55.292
EBQ062	-77.7	55.295
EBQ063	-75.067	55.413
EBQ064	-74.6	55.617
EBQ065	-74.583	55.625
EBQ066	-75.017	55.833
EBQ067	-74.975	56.02
EBQ068	-74.945	56.023
WB001	-99.65	50.71
WB002	-99.65	50.717
WB003	-99.95	50.733
WB004	-93.767	50.933
WB005	-93.867	51,0000
WB006	-93.867	51,0000
WB007	-93.85	51,0000
WB008	-93.967	51.033
WB009	-92.567	51.067
WB010	-94.188	51.079
WB011	-91.55	51.117
WB012	-93.717	51.167
WB013	-92.75	51.217
WB014	-94.25	51.383
WB015	-92.367	51.467
WB016	-100.9	51.65
WB017	-99.71	53.03
WB018	-101.85	54.73
WB019	-97.96	56.35
WB020	-102.27	57.23
WB021	-117.5	57.5
WB022	-112.1	57.767
WB023	-105.683	57.8
WB024	-117.4167	58.75
WB025	-114.15	59.25
WB026	-105.75	59.5
WB027	-105.383	60.2
WB028	-123.65	60.35
WB029	-116.2	60.583
WB030	-104.883	61.1
WB031	-120.05	61.2
WB032	-155.74	61.24
WB033	-155.65	61.56
WB034	-103.483	61.583
