stations	Latitude	Longitude
390	70.5	55.08
391	70.2	55.88
392	70.42	56.5
393	70.3	57.17
394	70.36	57.36
395	70.07	56.49
396	70.03	57.02
397	70.31	54.82
398	62.62	2.73
399	62.58	2.33
400	62.42	2.07
401	62.3	1.71
402	62.53	1.25
405	36.76	-9.85
406	38.84	-11.48
407	40.99	-10.85
408	41.82	-9.97
409	42.1	-9.78
410	42.3	-11.13
411	44.26	-2.7
412	46.91	-8.09
413	46.77	-8.68
414	46.68	-8.97
415	57.94	-29.13
416	66.6	-10.46
417	60.94	-17.74
418	62.95	-21.62
419	41.92	-65.46
420	42.56	-67.92
421	42.67	-69.66
422	42.02	-69.15
423	42.82	-69.96
424	42.47	-67.11
425	42.48	-68.46
426	42.01	-68.19
427	42.94	-67.36
428	43.38	-67.76
432	73.45	-166.25
435	73.19	-126.46
436	70.15	-133.43
438	70.97	-134.69
439	70.01	-138.59
459	74.01	137.66
462	74.49	119.96
466	74.48	137.04
467	75.01	136.03
470	75.02	119.89
471	75	114.53
472	75.47	119.96
473	75.48	123.84
474	75.42	125.84
477	75.34	135.17
480	77.11	137.23
482	76.84	137.29
483	75.49	115.25
492	74.5	119.83
493	74.5	114.28
494	75.5	115.54
495	78.03	102.31
496	77.71	102.29
497	77.89	101.59
498	76.51	133.35
499	79.65	130.54
500	78.48	133
501	78.17	133.4
502	78.1	133.51
503	78.07	133.61
504	77.41	133.56
505	77.48	125.9
506	77.18	126.22
507	77.13	126.35
508	77.08	126.22
509	77.69	125.89
510	78.06	125
511	79.22	122.91
512	79.16	119.78
513	78.67	118.74
514	77.98	118.57
515	77.67	118.57
516	77.53	118.46
517	77.39	118.19
518	77.17	118.71
519	78.47	110.79
520	78.7	112.51
521	78.76	112.7
522	78.58	111.38
523	77.9	105.08
530	75.54	114.5
531	77.02	116.05
532	64.3	-24.23
533	67.15	-30.82
534	67.14	-31.88
535	69.11	33.42
536	69.18	33.56
537	69.3	33.54
538	69.37	33.72
539	69.49	33.83
540	70.34	34.37
541	71.74	42.61
542	71.12	45.25
543	74.82	-97.18
546	74.5	-92.58
547	70.35	-133.8
548	73.22	58.55
549	72.29	57.64
550	71.42	30.42
551	71.39	31.97
552	70.83	36.27
553	71.07	37.05
554	71.26	37.92
555	76.72	59.77
556	75.43	57.32
557	75.62	56.43
558	77	70.01
559	78.32	70.03
560	73.62	50.72
561	74.14	55.52
562	74.45	52.43
563	74	-161.4
564	74.51	-159.98
566	76.96	-72.48
567	78.34	-74.7
568	76.98	-75.05
569	77.85	-74.79
570	76.27	-74.66
571	76.38	-77.41
572	78.99	-73.33
573	77.34	-76.48
574	76.99	-75
575	76.29	-72.03
576	76.37	-77.28
577	78.35	-74.48
578	77.01	-72.63
579	75.22	-74.94
580	76.28	-74.24
584	72.69	73.73
585	74	79.02
586	74	81
590	73.53	79.92
591	73.89	81.67
593	73.99	77.2
595	72.96	73.14
596	73.21	72.89
597	73.61	72.95
598	74	72.66
599	73.22	75.62
601	73.65	74.84
602	48.77	-125.5
603	48.91	-126.89
604	48.98	-126.88
605	49.22	-127.31
606	54.36	-148.47
607	58.86	9.35
608	58.73	9.09
609	58.48	8.85
610	58.35	8.61
611	58.13	8
612	58.07	7.81
613	58.08	7.14
614	58.05	7.07
615	58.09	7.8
616	58.28	6.66
620	59.17	5.4
622	59.63	5.46
623	59.8	5.26
626	60.52	5.09
628	61	5
629	61.16	5.21
