Obsname	tdjf	tmam	tjja	tson	tjjas	tjan	tfeb	tmar	tapr	tmay	tjun	tjul	taug	tsep	toct	tnov	tdec	ptotal	pdjf	pmam	pjja	pson	pjjas	pjan	pfeb	pmar	papr	pmay	pjun	pjul	paug	psep	poct	pnov	pdec	sann	sdjf	smam	sjja	sson	sjjas	sjan	sfeb	smar	sapr	smay	sjun	sjul	saug	ssep	soct	snov	sdec	gdd0	gdd5	mipt	aaetpt	apetpt	miptev	aaetptev	apetptev	miptdc	aaetptdc	apetptdc
WB147	-24.5666666666667	-7.36666666666667	11.2333333333333	-7.16666666666667	9.425	-26	-24.2	-17.8	-7.8	3.5	10.7	12.8	10.2	4	-7	-18.5	-23.5	167	17	16	94	40	28.25	6	4	3	3	10	28	32	34	19	13	8	7	39.1583333333333	30.5666666666667	52.1	42.8333333333333	31.1333333333333	41.425	27.8	42.7	53.6	52.7	50	45.2	44	39.3	37.2	27.3	28.9	21.2	1186.2	543.9	0.4965	166.9229	336.2	0.534	166.7219	312.1955	0.5052	127.8208	253.0167
WB148	-24.6	-7.36666666666667	11.2333333333333	-7.16666666666667	9.425	-26.1	-24.2	-17.8	-7.8	3.5	10.7	12.8	10.2	4	-7	-18.5	-23.5	167	17	16	94	40	28.25	6	4	3	3	10	28	32	34	19	13	8	7	39.15	30.5666666666667	52.1	42.8333333333333	31.1	41.425	27.8	42.7	53.6	52.7	50	45.2	44	39.3	37.2	27.3	28.8	21.2	1186.2	543.9	0.4965	166.9229	336.1781	0.5341	166.7215	312.1826	0.5052	127.8213	253.0086
WB149	-24.1333333333333	-5.9	11.8666666666667	-6.86666666666667	10.025	-25.3	-22.7	-16.3	-6.2	4.8	11.7	13.3	10.6	4.5	-6.9	-18.2	-24.4	222	36	27	111	48	33.25	13	9	9	7	11	29	40	42	22	12	14	14	41.5833333333333	37.9	53.6333333333333	40.5666666666667	34.2333333333333	39.75	35.3	47.9	56.2	54.1	50.6	44.1	41.9	35.7	37.3	30	35.4	30.5	1292	622.7	0.6459	221.7259	343.283	0.6855	220.0342	320.9622	0.6907	185.742	268.9202
WB150	-26.7	-7.9	11.8	-8.3	9.725	-28.3	-26.4	-20	-8.2	4.5	11.7	13.5	10.2	3.5	-7.6	-20.8	-25.4	304	52	39	132	81	40.25	19	15	15	12	12	30	46	56	29	30	22	18	41.8666666666667	39.5666666666667	53.6	40.1666666666667	34.1333333333333	39.225	35.9	50	56.3	54.4	50.1	44.3	41.4	34.8	36.4	32	34	32.8	1248.3	602	0.8053	270.677	336.1086	0.8302	258.6877	311.588	0.8591	222.5388	259.0334
WB151	-24.0333333333333	-9.43333333333333	9.6	-7.16666666666667	8.1	-24.7	-24.1	-19.4	-10.2	1.3	8.4	11.2	9.2	3.6	-7.1	-18	-23.3	274	45	40	125	64	37.75	15	16	16	14	10	24	46	55	26	19	19	14	41.825	40.5333333333333	53.3333333333333	39.6333333333333	33.8	38.7	35.3	51.5	56.3	54.3	49.4	43.8	41	34.1	35.9	32.6	32.9	34.8	978.6	381.7	0.8983	274.9883	306.1106	0.9256	260.5031	281.4385	0.9799	207.4164	211.6624
WB152	-24.0333333333333	-9.43333333333333	9.6	-7.16666666666667	8.1	-24.7	-24.1	-19.4	-10.2	1.3	8.4	11.2	9.2	3.6	-7.1	-18	-23.3	274	45	40	125	64	37.75	15	16	16	14	10	24	46	55	26	19	19	14	41.825	40.5333333333333	53.3333333333333	39.6333333333333	33.8	38.7	35.3	51.5	56.3	54.3	49.4	43.8	41	34.1	35.9	32.6	32.9	34.8	978.6	381.7	0.8985	275.0312	306.1085	0.9261	260.6336	281.4374	0.9806	207.5538	211.6617
WB153	-24	-6.56666666666667	11.9666666666667	-7.86666666666667	9.9	-25.1	-23.2	-17	-7.3	4.6	12	13.5	10.4	3.7	-8.2	-19.1	-23.7	289	47	38	137	67	42.5	16	13	14	11	13	35	48	54	33	17	17	18	41.5166666666667	39	53.5	39.6333333333333	33.9333333333333	38.775	36.2	49.1	56.3	54.2	50	43.6	40.9	34.4	36.2	30.7	34.9	31.7	1271.6	620.4	0.6594	224.011	339.7306	0.6734	211.4151	313.9638	0.6746	176.6364	261.8326
WB154	-24.4	-9.3	9.96666666666667	-7.06666666666667	8.425	-25.2	-24.5	-19.6	-10	1.7	8.8	11.6	9.5	3.8	-6.9	-18.1	-23.5	274	44	38	124	68	37.5	15	15	15	13	10	24	45	55	26	23	19	14	41.7833333333333	40.2333333333333	53.3333333333333	39.8333333333333	33.7333333333333	38.875	34.9	51.3	56.2	54.4	49.4	44	41.2	34.3	36	32.6	32.6	34.5	1025	417.1	0.6711	207.1948	308.7317	0.6895	197.3372	286.2198	0.6888	151.3956	219.804
WB155	-24.6333333333333	-7.96666666666667	10.7	-7.3	8.975	-25.9	-24.4	-18.3	-8.5	2.9	10.1	12.2	9.8	3.8	-7.2	-18.5	-23.6	162	20	15	87	40	26.5	7	5	3	3	9	25	30	32	19	13	8	8	39.225	30.8666666666667	52.2666666666667	42.6666666666667	31.1	41.25	28	43	53.9	52.9	50	45.1	43.9	39	37	27.2	29.1	21.6	1117.5	488.5	0.4952	161.9265	326.993	0.5331	161.5368	303.0141	0.5019	121.8304	242.7455
WB156	-24.1333333333333	-9.26666666666667	10	-6.8	8.5	-24.9	-24.3	-19.5	-10	1.7	8.7	11.7	9.6	4	-6.6	-17.8	-23.2	273	43	37	123	70	37.5	15	15	14	13	10	23	45	55	27	24	19	13	41.8166666666667	40.2333333333333	53.4	39.9333333333333	33.7	38.95	34.7	51.4	56.3	54.5	49.4	44.1	41.3	34.4	36	32.7	32.4	34.6	1033.7	422.4	0.6715	207.0133	308.2985	0.6839	196.1793	286.8456	0.6788	148.5001	218.7832
WB157	-25.6666666666667	-9.06666666666667	10.3666666666667	-7.86666666666667	8.625	-26.8	-25.6	-20.1	-9.6	2.5	9.7	12	9.4	3.4	-7.5	-19.5	-24.6	279	46	38	125	70	37.75	16	15	15	13	10	26	45	54	26	24	20	15	41.675	39.7666666666667	53.4	39.8666666666667	33.6666666666667	38.875	35.2	50.6	56.2	54.4	49.6	44	41.2	34.4	35.9	32.1	33	33.5	1067.6	452.5	0.6568	207.4028	315.7874	0.6801	198.0619	291.2451	0.6742	154.0731	228.5143
WB158	-25.6666666666667	-9.06666666666667	10.3666666666667	-7.86666666666667	8.625	-26.8	-25.6	-20.1	-9.6	2.5	9.7	12	9.4	3.4	-7.5	-19.5	-24.6	279	46	38	125	70	37.75	16	15	15	13	10	26	45	54	26	24	20	15	41.675	39.7666666666667	53.4	39.8666666666667	33.6666666666667	38.875	35.2	50.6	56.2	54.4	49.6	44	41.2	34.4	35.9	32.1	33	33.5	1067.6	452.5	0.6568	207.4117	315.7853	0.6801	198.0697	291.2439	0.6743	154.0811	228.5135
WB159	-25.0333333333333	-9.93333333333333	9.26666666666667	-7.93333333333333	7.7	-25.9	-25.1	-20.3	-10.6	1.1	8.2	10.9	8.7	3	-7.8	-19	-24.1	272	46	40	124	62	37	16	16	16	14	10	25	46	53	24	19	19	14	41.45	40	53.1666666666667	39.2666666666667	33.3666666666667	38.3	35	51	56.2	54.2	49.1	43.5	40.6	33.7	35.4	32.1	32.6	34	929.4	347.6	0.7579	228.5249	301.5164	0.784	215.6288	275.0469	0.7911	160.7764	203.2429
WB160	-25.0333333333333	-9.93333333333333	9.26666666666667	-7.93333333333333	7.7	-25.9	-25.1	-20.3	-10.6	1.1	8.2	10.9	8.7	3	-7.8	-19	-24.1	272	46	40	124	62	37	16	16	16	14	10	25	46	53	24	19	19	14	41.45	40	53.1666666666667	39.2666666666667	33.3666666666667	38.3	35	51	56.2	54.2	49.1	43.5	40.6	33.7	35.4	32.1	32.6	34	929.4	347.6	0.7579	228.5202	301.5142	0.784	215.6252	275.0458	0.791	160.774	203.2423
