Obsname	tdjf	tmam	tjja	tson	tjjas	tjan	tfeb	tmar	tapr	tmay	tjun	tjul	taug	tsep	toct	tnov	tdec	ptotal	pdjf	pmam	pjja	pson	pjjas	pjan	pfeb	pmar	papr	pmay	pjun	pjul	paug	psep	poct	pnov	pdec	sann	sdjf	smam	sjja	sson	sjjas	sjan	sfeb	smar	sapr	smay	sjun	sjul	saug	ssep	soct	snov	sdec	gdd0	gdd5	mipt	aaetpt	apetpt	miptev	aaetptev	apetptev	miptdc	aaetptdc	apetptdc
BA001	-19.4	-12.2333333333333	3.2	-4	2.55	-20.7	-21	-19.7	-12.3	-4.7	0.3	4.8	4.5	0.6	-4.1	-8.5	-16.5	341	44	33	144	120	49	13	10	8	10	15	24	53	67	52	39	29	21	32.9833333333333	28.9333333333333	42.9333333333333	36.1333333333333	23.9333333333333	33.575	26.3	40.2	46.7	48.5	33.6	35.4	38.2	34.8	25.9	23.1	22.8	20.3	301.2	0	0.7443	180.423	242.3925	0.7217	150.3519	208.3346	0	0	0
BA002	-24	-14.5	3.7	-5.56666666666667	2.95	-25.2	-26.1	-23.2	-14.9	-5.4	1	5.3	4.8	0.7	-5.5	-11.9	-20.7	425	72	70	159	124	51.75	24	22	22	23	25	38	58	63	48	41	35	26	30.35	25.8333333333333	42.0666666666667	33.2	20.3	30.425	22.9	38	46.6	48	31.6	30.9	35.8	32.9	22.1	18.3	20.5	16.6	340.3	3.1	0.7095	164.8573	232.3716	0.6932	136.9694	197.6036	0.5557	22.855	41.1275
BA003	-24.9	-15.8333333333333	1.96666666666667	-7.33333333333333	1.15	-26	-26.8	-24.3	-16.3	-6.9	-0.8	3.7	3	-1.3	-7.3	-13.4	-21.9	498	90	81	177	150	58.5	29	27	26	26	29	40	64	73	57	49	44	34	30.675	26.9333333333333	42.1333333333333	32.7	20.9333333333333	30.05	24	39.2	46.5	48.1	31.8	31.2	35.2	31.7	22.1	19.4	21.3	17.6	182.4	0	0.5309	115.5696	217.6973	0.5856	99.5172	169.9432	0	0	0
BA004	-23.4333333333333	-14.2	3.76666666666667	-5.5	2.975	-24.5	-25.3	-22.7	-14.6	-5.3	1	5.4	4.9	0.6	-5.3	-11.8	-20.5	415	63	62	158	132	52.5	20	19	17	21	24	34	58	66	52	44	36	24	31.6	26.9666666666667	43.2666666666667	34.1	22.0666666666667	31.475	23.8	39.5	47.2	49.2	33.4	32.4	36.7	33.2	23.6	20.3	22.3	17.6	344.7	5.5	0.6296	146.3106	232.4046	0.616	122.4974	198.8608	0.5433	28.0506	51.6294
BA005	-24.2666666666667	-14.7	4.53333333333333	-5.2	3.725	-25.5	-26.4	-23.5	-15.1	-5.5	1.7	6.4	5.5	1.3	-5	-11.9	-20.9	373	54	64	146	109	47	18	16	17	22	25	34	54	58	42	37	30	20	28.9416666666667	21.5333333333333	41.4	34.4333333333333	18.4	31.325	17.9	35	45.7	48	30.5	31.4	37	34.9	22	16.7	16.5	11.7	422.2	36.8	0.7679	180.4868	235.0405	0.7599	154.8672	203.8125	0.6379	53.9378	84.5524
BA006	-23.4333333333333	-14.6333333333333	3.26666666666667	-5.3	2.525	-25.3	-25.9	-23.2	-14.7	-6	0.2	5.2	4.4	0.3	-4.7	-11.5	-19.1	375	67	62	117	129	41.5	21	18	17	21	24	27	40	50	49	42	38	28	27.5833333333333	16.3333333333333	40.4666666666667	37.3	16.2333333333333	33.725	10.4	34.1	43.6	48.7	29.1	34.4	39.9	37.6	23	15.8	9.9	4.5	303.4	0.9	0.6277	143.3923	228.4516	0.5905	115.3319	195.3159	0.2848	5.4025	18.9694
BA007	-19.2666666666667	-11.8333333333333	4	-3.86666666666667	3.3	-20.4	-20.6	-19.3	-12	-4.2	1.1	5.5	5.4	1.2	-3.8	-9	-16.8	475	59	53	185	178	63	17	14	7	21	25	32	66	87	67	62	49	28	35	28.5666666666667	45.9333333333333	38.9	26.6	36.3	25.3	41.1	49	51.8	37	38.6	41	37.1	28.5	26.6	24.7	19.3	378.2	15.4	0.6443	160.4348	249.0219	0.6167	135.2866	219.3768	0.4861	34.4775	70.9255
BA008	-23.9666666666667	-14.5333333333333	3.96666666666667	-5.33333333333333	3.125	-25.4	-26.2	-23.1	-14.5	-6	1	6.1	4.8	0.6	-4.7	-11.9	-20.3	394	71	74	120	129	41.5	22	19	20	27	27	25	40	55	46	41	42	30	27.175	14.7666666666667	40.1666666666667	37.8333333333333	15.9333333333333	34.2	8.4	32.8	43	48.7	28.8	34.7	40.3	38.5	23.3	15.5	9	3.1	363.2	18.1	0.7153	166.9599	233.3966	0.6932	139.7475	201.6091	0.531	35.3673	66.601
BA009	-23.0666666666667	-15.0333333333333	2.03333333333333	-6.9	1.2	-24.1	-24.6	-23	-15.4	-6.7	-0.8	3.7	3.2	-1.3	-6.8	-12.6	-20.5	512	79	72	186	175	62.75	24	22	17	25	30	37	66	83	65	60	50	33	32.925	27.7333333333333	44.4	35.5666666666667	24	32.975	24.6	40.5	47.9	50.4	34.9	35	37.9	33.8	25.2	23.6	23.2	18.1	188.3	0	0.5338	116.4262	218.101	0.56	98.2971	175.5426	0	0	0
BA010	-26.2	-15.5333333333333	4.76666666666667	-6.26666666666667	3.825	-27.1	-28.3	-25	-16.1	-5.5	2.2	6.5	5.6	1	-6	-13.8	-23.2	425	67	73	160	125	52.5	23	21	21	25	27	37	60	63	50	41	34	23	30.9583333333333	25.8333333333333	43.7333333333333	32.8333333333333	21.4333333333333	30.3	22	39.7	46.9	49.8	34.5	30.9	35.8	31.8	22.7	19	22.6	15.8	433.1	41.9	0.7377	173.0038	234.5208	0.7369	148.7623	201.8784	0.5932	50.2955	84.7938
BA011	-26.4666666666667	-17.2	1.63333333333333	-8.76666666666667	0.65	-27.4	-28.2	-25.9	-17.7	-8	-1.1	3.4	2.6	-2.3	-8.6	-15.4	-23.8	526	92	90	180	164	60	30	27	26	30	34	41	65	74	60	55	49	35	31.3166666666667	26.4333333333333	43.6333333333333	33.1	22.1	30.55	23	39.8	47.1	49.8	34	32.1	35.7	31.5	22.9	21	22.4	16.5	153.5	0	0.4646	97.4707	209.7747	0.6092	96.6742	158.692	0	0	0
BA012	-23.7666666666667	-14.1333333333333	5.16666666666667	-5.03333333333333	4.225	-24.7	-25.8	-22.7	-14.2	-5.5	2.2	7.4	5.9	1.4	-4.5	-12	-20.8	345	57	68	109	111	36.75	18	15	16	26	26	19	36	54	38	36	37	24	27.0833333333333	13.5	40.5	38	16.3333333333333	34.475	6.8	31.2	43	49.3	29.2	34.7	40.4	38.9	23.9	15.9	9.2	2.5	479.1	71	0.6685	160.7327	240.4287	0.6818	144.5985	212.0797	0.6268	64.3296	102.6323
BA013	-24.2333333333333	-15.0333333333333	4.2	-5.7	3.35	-25.8	-26.4	-23.7	-15.1	-6.3	1	6.3	5.3	0.8	-5.1	-12.8	-20.5	315	49	55	103	108	35.75	15	13	14	20	21	20	35	48	40	36	32	21	29.7083333333333	17.3	43.3333333333333	39.4333333333333	18.7666666666667	35.75	11.1	35.5	45.1	52.1	32.8	36.6	42	39.7	24.7	18.8	12.8	5.3	388.2	30.1	0.6591	154.2462	234.0273	0.6937	140.1411	202.0072	0.6509	51.7677	79.5346
BA014	-22.6	-14.0666666666667	4.23333333333333	-5.4	3.35	-23.6	-24.2	-22.4	-14.5	-5.3	1.4	6	5.3	0.7	-5.1	-11.8	-20	372	40	50	148	134	50	12	11	8	18	24	29	53	66	52	47	35	17	33.15	26.3	45.4	36.4666666666667	24.4333333333333	33.875	22.5	39.8	48	51.6	36.6	35.6	39	34.8	26.1	23.6	23.6	16.6	385.6	23.8	0.7664	178.672	233.1224	0.7473	152.6532	204.2636	0.6197	45.8915	74.0567
BA015	-26.7333333333333	-17.3333333333333	2.03333333333333	-8.73333333333333	1.025	-27.6	-28.5	-26.2	-17.9	-7.9	-0.7	3.9	2.9	-2	-8.4	-15.8	-24.1	492	82	86	170	154	56.75	27	25	24	29	33	39	61	70	57	52	45	30	31.3416666666667	25.8	43.9666666666667	33.3333333333333	22.2666666666667	30.8	22.2	39.5	47	50.2	34.7	32.3	36	31.7	23.2	21.2	22.4	15.7	182.4	0	0.5983	125.7297	210.1412	0.6353	103.0962	162.2915	0	0	0
BA016	-24.2666666666667	-14.6333333333333	4.6	-5.6	3.675	-25.2	-26.3	-23.2	-14.7	-6	1.7	6.8	5.3	0.9	-5	-12.7	-21.3	366	65	74	111	116	37.5	21	17	19	28	27	19	37	55	39	37	40	27	26.8916666666667	13.0333333333333	40.4666666666667	37.9	16.1666666666667	34.35	6.2	31.1	42.8	49.6	29	34.6	40.3	38.8	23.7	15.9	8.9	1.8	420.1	42.7	0.6886	160.7838	233.4789	0.6783	138.2812	203.8636	0.5827	50.8727	87.3116
BA017	-24.8333333333333	-15.5666666666667	3.8	-6.36666666666667	2.9	-26.2	-26.9	-24.2	-15.7	-6.8	0.7	6	4.7	0.2	-5.7	-13.6	-21.4	354	63	67	110	114	37.5	20	17	18	24	25	21	37	52	40	37	37	26	28.7833333333333	16	42.6	38.6333333333333	17.9	34.975	9.5	34.3	44.5	51.6	31.7	35.7	41.2	39	24	18.1	11.6	4.2	344.3	14.9	0.5792	131.3707	226.82	0.6128	118.3318	193.0879	0.4924	28.9256	58.7429
BA018	-19.6666666666667	-12.2666666666667	4.56666666666667	-4.53333333333333	3.7	-20.6	-21	-19.7	-12.6	-4.5	1.6	6.2	5.9	1.1	-4.3	-10.4	-17.4	451	67	63	143	178	51	22	17	8	23	32	30	49	64	61	68	49	28	36.9583333333333	28.4666666666667	48.4333333333333	41.9333333333333	29	39.2	24.9	41.8	50.9	54.6	39.8	42.3	43.9	39.6	31	30.3	25.7	18.7	423.2	40	0.7032	176.2538	250.6472	0.6673	148.2856	222.2197	0.4991	44.3538	88.8655
BA019	-27.4666666666667	-17.7	2.6	-8.73333333333333	1.55	-28.3	-29.4	-26.9	-18.3	-7.9	-0.1	4.5	3.4	-1.6	-8.4	-16.2	-24.7	458	75	83	160	140	53.25	25	23	23	28	32	37	58	65	53	47	40	27	30.8666666666667	24.7	43.9	33.1	21.7666666666667	30.575	20.7	38.8	46.7	50.2	34.8	31.8	35.9	31.6	23	20.4	21.9	14.6	225.4	0	0.5538	116.9012	211.0762	0.578	96.9442	167.7233	0	0	0
BA020	-21.7333333333333	-13.9666666666667	3.53333333333333	-5.96666666666667	2.6	-22.6	-23.2	-21.7	-14.4	-5.8	0.6	5.3	4.7	-0.2	-5.6	-12.1	-19.4	416	55	59	140	162	49.25	17	15	8	21	30	30	48	62	57	60	45	23	35.375	27.4333333333333	47.3333333333333	39.5333333333333	27.2	36.875	23.8	40.9	49.9	53.6	38.5	39.6	41.7	37.3	28.9	27.9	24.8	17.6	314.9	2.6	0.6038	139.1393	230.4508	0.5851	115.7257	197.7991	0.5101	17.6662	34.6303
BA021	-24.1	-14.9	4.8	-5.86666666666667	3.85	-25	-25.9	-23.7	-15.4	-5.6	2	6.7	5.7	1	-5.5	-13.1	-21.4	319	32	48	129	110	43.25	10	10	8	17	23	27	47	55	44	39	27	12	32.1666666666667	24.5	45.1333333333333	35.6333333333333	23.4	33.1	20.3	38.6	47.3	51.5	36.6	34.3	38.4	34.2	25.5	22.1	22.6	14.6	437.9	48.3	0.7922	182.9381	230.9135	0.7815	158.043	202.2281	0.7247	64.832	89.4663
BA022	-21.2666666666667	-13.7	3.6	-6.06666666666667	2.65	-22.1	-22.6	-21.3	-14.1	-5.7	0.6	5.4	4.8	-0.2	-5.8	-12.2	-19.1	465	76	71	137	181	49.25	25	21	11	25	35	31	47	59	60	69	52	30	36.625	28.0666666666667	48.4	41.3666666666667	28.6666666666667	38.625	24.5	41.6	50.9	54.7	39.6	41.9	43.3	38.9	30.4	30.2	25.4	18.1	321.1	4.7	0.6448	151.1032	234.3244	0.622	125.1341	201.1711	0.5419	25.2661	46.6284
BA023	-22.2	-14.3	3.66666666666667	-6.1	2.725	-23.1	-23.7	-22.1	-14.8	-6	0.7	5.5	4.8	-0.1	-5.7	-12.5	-19.8	373	43	54	128	148	45	13	12	6	19	29	28	44	56	52	55	41	18	34.8666666666667	26.7666666666667	47.0666666666667	38.9666666666667	26.6666666666667	36.325	23	40.4	49.4	53.4	38.4	38.9	41.2	36.8	28.4	27.2	24.4	16.9	327.4	6.4	0.6493	148.2875	228.3972	0.6244	122.8367	196.714	0.5054	25.9466	51.3352
BA024	-22.6	-14.9	2.76666666666667	-7.16666666666667	1.775	-23.5	-23.9	-22.6	-15.4	-6.7	-0.2	4.6	3.9	-1.2	-6.8	-13.5	-20.4	458	71	72	140	175	49.5	23	20	12	25	35	32	48	60	58	66	51	28	35.5916666666667	27.5	47.6	39.8	27.4666666666667	37.1	23.9	41.1	50.2	53.9	38.7	40.2	41.9	37.3	29	28.7	24.7	17.5	244.8	0	0.5613	124.4359	221.6951	0.5771	106.2081	184.0329	0	0	0
BA025	-22.1666666666667	-14.6	2.96666666666667	-7.13333333333333	1.975	-23	-23.5	-22.2	-15.1	-6.5	0	4.8	4.1	-1	-6.9	-13.5	-20	514	97	85	139	193	50.25	33	27	17	29	39	34	47	58	62	74	57	37	36.8083333333333	28.1333333333333	48.6333333333333	41.5666666666667	28.9	38.8	24.6	41.7	51.2	54.9	39.8	42.3	43.5	38.9	30.5	30.8	25.4	18.1	261.8	0	0.5673	128.9121	227.2485	0.5496	104.3205	189.8134	0	0	0
BA026	-26.3	-16.9666666666667	3.73333333333333	-7.86666666666667	2.65	-27.1	-28.2	-26	-17.5	-7.4	0.8	5.8	4.6	-0.6	-7.6	-15.4	-23.6	346	42	59	137	108	45	14	13	13	20	26	29	50	58	43	38	27	15	30.1166666666667	21.7333333333333	43.5	34.2666666666667	20.9666666666667	31.6	17.3	36.2	45.9	50.2	34.4	32.6	37	33.2	23.6	19.8	19.5	11.7	325.7	10.3	0.7209	155.1144	215.1744	0.7188	129.1282	179.649	0.5604	27.059	48.2882
BA027	-23.6333333333333	-15.5	2.76666666666667	-7.43333333333333	1.75	-24.4	-25.2	-23.5	-16	-7	-0.1	4.6	3.8	-1.3	-7	-14	-21.3	388	49	60	130	149	45.5	15	14	9	21	30	30	45	55	52	55	42	20	34.05	26.1333333333333	46.5333333333333	37.7666666666667	25.7666666666667	35.15	22.4	39.8	48.9	52.9	37.8	37.7	40.1	35.5	27.3	26.2	23.8	16.2	242.5	0	0.5375	116.3236	216.4234	0.5665	100.8228	177.9641	0	0	0
BA028	-24.0333333333333	-16.1666666666667	1.9	-8.4	0.85	-24.8	-25.5	-24	-16.7	-7.8	-1	3.8	2.9	-2.3	-8	-14.9	-21.8	452	70	74	138	170	48.75	22	20	14	25	35	33	47	58	57	63	50	28	34.6583333333333	26.8	46.9	38.4333333333333	26.5	35.775	23.2	40.4	49.5	53.2	38	38.8	40.6	35.9	27.8	27.6	24.1	16.8	174.8	0	0.6341	133.7402	210.9071	0.6478	108.1741	166.9756	0	0	0
BA029	-24.6	-15.5	4.5	-6.53333333333333	3.475	-25.4	-26.4	-24.3	-16.1	-6.1	1.7	6.4	5.4	0.4	-6.1	-13.9	-22	303	28	48	121	106	40.75	9	9	7	17	24	26	44	51	42	38	26	10	31.9916666666667	23.6333333333333	45.1333333333333	35.8	23.4	33.25	19.3	37.8	47	51.6	36.8	34.6	38.5	34.3	25.6	22.4	22.2	13.8	401.4	34.9	0.6593	148.9082	225.869	0.6839	133.3078	194.9273	0.6647	53.9098	81.1089
BA030	-23.8666666666667	-15.2	4.2	-6.46666666666667	3.2	-24.7	-25.6	-23.7	-15.7	-6.2	1.4	6.1	5.1	0.2	-6	-13.6	-21.3	302	27	46	115	114	39.75	8	8	5	17	24	25	41	49	44	41	29	11	32.85	24.4	45.8333333333333	36.7	24.4666666666667	34.15	20.3	38.3	47.7	52.2	37.6	36	39.2	34.9	26.5	23.9	23	14.6	373.4	22.7	0.6444	144.471	224.1801	0.6612	128.4408	194.2442	0.6019	44.2845	73.5768
BA031	-23.5	-15.2333333333333	3.33333333333333	-6.9	2.35	-24.3	-25.1	-23.4	-15.7	-6.6	0.5	5.2	4.3	-0.6	-6.4	-13.7	-21.1	336	35	52	117	132	41	10	10	6	18	28	27	40	50	47	49	36	15	33.775	25.4333333333333	46.4333333333333	37.6666666666667	25.5666666666667	35.1	21.5	39.2	48.5	52.8	38	37.4	40	35.6	27.4	25.7	23.6	15.6	292.8	0.8	0.5973	130.7908	218.9774	0.5812	108.4423	186.5857	0.4207	6.9514	16.5245
BA032	-23.4	-15.2	3.43333333333333	-6.86666666666667	2.425	-24.2	-25	-23.3	-15.7	-6.6	0.6	5.3	4.4	-0.6	-6.4	-13.6	-21	336	35	52	117	132	41	10	10	6	18	28	27	40	50	47	49	36	15	33.7833333333333	25.4	46.4666666666667	37.7	25.5666666666667	35.125	21.5	39.2	48.5	52.8	38.1	37.4	40.1	35.6	27.4	25.7	23.6	15.5	300.7	1.9	0.5283	115.6945	219.0032	0.5585	104.5847	187.2512	0.3763	9.1893	24.4228
BA033	-23.7	-15.8	2.53333333333333	-7.76666666666667	1.5	-24.5	-25.2	-23.7	-16.3	-7.4	-0.4	4.5	3.5	-1.6	-7.3	-14.4	-21.4	382	49	63	121	149	43	15	14	10	21	32	29	41	51	51	56	42	20	34.325	26.0333333333333	46.8333333333333	38.2333333333333	26.2	35.625	22.3	39.7	49.1	53.2	38.2	38.4	40.4	35.9	27.8	27	23.8	16.1	224.1	0	0.6416	136.6864	213.0448	0.6195	108.1146	174.5177	0	0	0
BA034	-25.0666666666667	-15.9666666666667	4.5	-6.9	3.45	-25.9	-26.9	-24.8	-16.5	-6.6	1.6	6.5	5.4	0.3	-6.6	-14.4	-22.4	286	24	46	119	97	39.75	8	7	7	16	23	24	43	52	40	35	22	9	31.1583333333333	22.1666666666667	44.5333333333333	35.5	22.4333333333333	32.9	17.7	36.5	46.4	51.1	36.1	34.1	38.2	34.2	25.1	21.4	20.8	12.3	400.4	37.1	0.7618	168.7062	221.4464	0.7522	144.0371	191.4992	0.7076	57.1877	80.8191
BA035	-24.9333333333333	-16.7666666666667	1.93333333333333	-8.7	0.85	-25.7	-26.5	-24.8	-17.4	-8.1	-0.9	3.9	2.8	-2.4	-8.2	-15.5	-22.6	400	55	69	128	148	44.75	17	16	13	23	33	31	44	53	51	54	43	22	33.2916666666667	25.3	46.0333333333333	36.7666666666667	25.0666666666667	34.2	21.5	39.1	48.3	52.4	37.4	36.8	39.1	34.4	26.5	25.5	23.2	15.3	175.6	0	0.6331	130.0481	205.4003	0.6669	107.8633	161.7458	0	0	0
BA036	-24.7333333333333	-16.9333333333333	1.43333333333333	-9.13333333333333	0.35	-25.5	-26.2	-24.8	-17.5	-8.5	-1.5	3.4	2.4	-2.9	-8.7	-15.8	-22.5	433	66	75	128	164	45.5	21	19	14	25	36	33	43	52	54	61	49	26	34.3	26.2	46.7666666666667	38.0333333333333	26.2	35.4	22.6	39.9	49.2	53.1	38	38.4	40.2	35.5	27.5	27.4	23.7	16.1	142.8	0	0.7129	145.8131	204.5479	0.7417	115.8826	156.2444	0	0	0
BA037	-24.5333333333333	-15.7666666666667	5.13333333333333	-6.93333333333333	3.95	-25.3	-26.3	-24.5	-16.2	-6.6	1.9	7.5	6	0.4	-6.8	-14.4	-22	243	15	37	112	79	36.5	5	4	4	13	20	18	41	53	34	29	16	6	29.45	18.1333333333333	43.3	36.1666666666667	20.2	33.275	13	33.4	45	50.9	34	34.2	38.8	35.5	24.6	19.7	16.3	8	457.7	74.3	0.7848	176.2808	224.629	0.8013	156.1409	194.8703	0.8444	81.2718	96.2512
BA038	-25.3333333333333	-17.2	1.63333333333333	-9.1	0.55	-26.1	-26.9	-25.3	-17.8	-8.5	-1.2	3.6	2.5	-2.7	-8.6	-16	-23	386	50	67	124	145	43.5	15	15	12	23	32	31	42	51	50	53	42	20	32.975	24.8333333333333	45.7666666666667	36.5	24.8	33.95	21	38.6	47.9	52.2	37.2	36.5	38.8	34.2	26.3	25.3	22.8	14.9	154.5	0	0.6632	133.4337	201.2042	0.7039	110.262	156.6445	0	0	0
BA039	-21.2666666666667	-13.8333333333333	4.26666666666667	-6	3.225	-22	-22.7	-21.3	-14.4	-5.8	1.2	6.2	5.4	0.1	-5.5	-12.6	-19.1	299	34	49	80	136	30.75	11	10	3	16	30	23	25	32	43	56	37	13	36.8666666666667	26.6666666666667	49.2333333333333	42.3333333333333	29.2333333333333	39.6	22.8	40.4	51.1	55.6	41	43	44.3	39.7	31.4	31.1	25.2	16.8	380.1	29.8	0.5718	133.753	233.9122	0.6292	129.0992	205.1815	0.5207	41.6718	80.0363
BA040	-21.2666666666667	-13.8333333333333	4.26666666666667	-6	3.225	-22	-22.7	-21.3	-14.4	-5.8	1.2	6.2	5.4	0.1	-5.5	-12.6	-19.1	299	34	49	80	136	30.75	11	10	3	16	30	23	25	32	43	56	37	13	36.8666666666667	26.6666666666667	49.2333333333333	42.3333333333333	29.2333333333333	39.6	22.8	40.4	51.1	55.6	41	43	44.3	39.7	31.4	31.1	25.2	16.8	380.1	29.8	0.5718	133.753	233.9122	0.6292	129.0992	205.1815	0.5207	41.6718	80.0363
BA041	-25.4	-16.9	2.66666666666667	-8.4	1.6	-26.1	-27.1	-25.3	-17.5	-7.9	-0.1	4.6	3.5	-1.6	-7.9	-15.7	-23	339	40	60	117	122	40.5	12	12	11	21	28	27	41	49	45	44	33	16	32.0333333333333	23.2333333333333	45.2	35.8666666666667	23.8333333333333	33.35	19.1	37.2	46.8	51.7	37.1	35.4	38.4	33.8	25.8	23.7	22	13.4	231.4	0	0.5567	113.9694	204.7135	0.5675	95.9044	168.9982	0	0	0
BA042	-22.9666666666667	-15.4	2.93333333333333	-8.23333333333333	1.8	-23.6	-24.3	-23.2	-16	-7	0	4.8	4	-1.6	-8	-15.1	-21	545	125	103	114	203	43.5	45	36	23	34	46	34	37	43	60	82	61	44	37.95	27.6	50.2333333333333	43.6	30.3666666666667	40.75	23.9	41.5	52.5	56.7	41.5	44.9	45.3	40.6	32.2	33.4	25.5	17.4	253.7	0	0.6077	136.8347	225.1848	0.5967	111.26	186.4646	0	0	0
BA043	-21.7	-14.2666666666667	3.9	-6.76666666666667	2.825	-22.4	-23.1	-21.9	-14.8	-6.1	0.9	5.8	5	-0.4	-6.4	-13.5	-19.6	396	72	70	89	165	34.75	25	21	10	23	37	27	28	34	50	68	47	26	37.6083333333333	27.0333333333333	49.9333333333333	43.4	30.0666666666667	40.6	23.2	40.9	51.9	56.3	41.6	44.4	45.2	40.6	32.2	32.6	25.4	17	342.5	14.4	0.5648	130.6414	231.3048	0.5535	110.5988	199.8306	0.4013	28.3062	70.5293
BA044	-24.0333333333333	-16.3666666666667	2.36666666666667	-8.33333333333333	1.275	-24.7	-25.6	-24.2	-17	-7.9	-0.5	4.3	3.3	-2	-7.7	-15.3	-21.8	288	29	52	84	123	31.25	8	9	6	17	29	24	27	33	41	47	35	12	33.725	23.7333333333333	46.6666666666667	38.3333333333333	26.1666666666667	35.825	19.8	37.3	48	53	39	38.7	40.5	35.8	28.3	27.3	22.9	14.1	208.4	0	0.7341	148.9052	202.8517	0.7132	119.4015	167.4128	0	0	0
BA045	-23.8666666666667	-15.9	3.3	-7.46666666666667	2.25	-24.6	-25.5	-24	-16.5	-7.2	0.6	5.2	4.1	-0.9	-6.8	-14.7	-21.5	255	19	46	85	105	30.75	5	6	5	16	25	21	29	35	38	39	28	8	32.5083333333333	22.2	45.7666666666667	37.2333333333333	24.8333333333333	34.8	18	35.9	46.7	52.2	38.4	37	39.6	35.1	27.5	25.1	21.9	12.7	285.2	0.7	0.7142	148.4289	207.8244	0.6975	123.9691	177.7256	0.3497	4.9877	14.2636
BA046	-24.7333333333333	-16.8	2.86666666666667	-8.03333333333333	1.9	-25.4	-26.4	-25	-17.6	-7.8	0.3	4.6	3.7	-1	-7.2	-15.9	-22.4	232	21	42	71	98	26.75	6	6	5	15	22	18	23	30	36	37	25	9	31.8416666666667	19.5	45.3	37.5666666666667	25	35.3	15.2	32.6	45	51.5	39.4	37.8	39.8	35.1	28.5	25.8	20.7	10.7	248.5	0	0.7362	144.591	196.3929	0.7409	124.7399	168.3538	0	0	0
BA047	-26.5	-18.3333333333333	3.13333333333333	-9.66666666666667	1.95	-27	-28.1	-27.1	-19.2	-8.7	0.2	5.2	4	-1.6	-9.3	-18.1	-24.4	234	20	38	95	81	32.25	7	5	6	12	20	16	33	46	34	31	16	8	29.7916666666667	16.5666666666667	44	36.0666666666667	22.5333333333333	33.75	11.9	30.1	43.5	50.7	37.8	35.9	38.5	33.8	26.8	23.2	17.6	7.7	269.3	0.7	0.6137	118.6175	193.2884	0.6731	109.7438	163.0488	0.4163	5.7766	13.8775
BA048	-25.6	-17.5	2.73333333333333	-8.36666666666667	1.825	-26.2	-27.3	-26	-18.4	-8.1	0.3	4.3	3.6	-0.9	-7.5	-16.7	-23.3	236	26	42	71	97	26.75	8	7	6	15	21	17	23	31	36	37	24	11	31.375	18.4	45	37.3666666666667	24.7333333333333	35.175	14.1	31.3	44.3	51.2	39.5	37.7	39.6	34.8	28.6	25.5	20.1	9.8	237.1	0	0.7647	147.1589	192.4395	0.7514	124.8502	166.1488	0	0	0
BA049	-28.9666666666667	-19.6666666666667	3.23333333333333	-11.1	1.925	-29.5	-30.7	-29	-20.6	-9.4	0.1	5.6	4	-2	-11	-20.3	-26.7	246	27	42	95	82	32	9	8	10	13	19	16	36	43	33	30	19	10	30.3	17.1333333333333	45.9666666666667	36.5666666666667	21.5333333333333	33.75	12.2	32.3	46	54.1	37.8	36.1	39.4	34.2	25.3	23.1	16.2	6.9	277.2	4.5	0.6931	136.6162	197.1169	0.7294	116.649	159.9165	0.4807	14.1933	29.5281
BA050	-26.5333333333333	-18.3333333333333	3.53333333333333	-10	2.225	-27	-28.1	-27.1	-19.2	-8.7	0.4	5.8	4.4	-1.7	-9.9	-18.4	-24.5	213	14	31	96	72	31.75	5	3	4	9	18	15	34	47	31	28	13	6	29.675	16.1333333333333	44.2333333333333	36.0666666666667	22.2666666666667	33.725	11.5	29.7	43.7	51.2	37.8	35.9	38.6	33.7	26.7	23.1	17	7.2	302.1	8.9	0.7436	145.7723	196.0328	0.7667	126.086	164.4624	0.6115	25.6403	41.9286
BA051	-28.8666666666667	-19.2333333333333	3.86666666666667	-10.5333333333333	2.625	-29.5	-30.7	-28.6	-20.2	-8.9	0.8	6.1	4.7	-1.1	-10.3	-20.2	-26.4	209	21	34	83	71	28	7	6	8	11	15	13	32	38	29	26	16	8	32.1	19.1666666666667	48.2666666666667	38.1666666666667	22.8	35.05	14.2	34.9	48	57	39.8	37.7	41.2	35.6	25.7	24.8	17.9	8.4	332.5	17	0.7215	146.5067	203.0534	0.7796	132.3036	169.7107	0.7673	45.1194	58.805
BA052	-26.9	-18.4666666666667	2.43333333333333	-9	1.575	-27.5	-28.6	-27.2	-19.5	-8.7	0	3.9	3.4	-1	-8.1	-17.9	-24.6	253	35	44	77	97	28.75	13	9	9	15	20	17	26	34	38	37	22	13	30.6583333333333	17	44.5	36.9333333333333	24.2	34.825	12.6	29.8	43.4	50.7	39.4	37.3	39.2	34.3	28.5	25	19.1	8.6	213	0	0.7553	140.8573	186.4796	0.7592	120.8664	159.2045	0	0	0
BA053	-27.2333333333333	-19.0333333333333	2.5	-10.4666666666667	1.325	-27.7	-28.8	-27.8	-20	-9.3	-0.3	4.5	3.3	-2.2	-10.2	-19	-25.2	249	28	41	94	86	32.25	10	7	8	13	20	17	33	44	35	33	18	11	29.525	15.9333333333333	43.8333333333333	35.7333333333333	22.6	33.55	11.5	29	43	50.4	38.1	35.9	38.2	33.1	27	23.5	17.3	7.3	216	0	0.6492	121.4395	187.0559	0.6499	100.0011	153.8701	0	0	0
